25	Geraldton	Geraldton	NNP	LOCATION	Geraldton	prep_near	12	10	['P1,545 1392 729 1425']
26	,	,	,	O	,	_	0	10	['P1,545 1392 729 1425']
27	and	and	CC	O	and	_	0	10	['P1,752 1392 815 1420']
28	a	a	DT	O	a	det	31	10	['P1,837 1401 854 1419']
29	possible	possible	JJ	O	possible	amod	31	10	['P1,876 1391 1014 1430']
30	theropod	theropod	NN	O	theropod	nn	31	10	['P1,150 1436 303 1475']
31	humerus	humerus	NN	O	humerus	conj_and	12	10	['P1,319 1437 470 1466']
32	from	from	IN	O	from	_	0	10	['P1,488 1437 569 1466']
33	the	the	DT	O	the	det	36	10	['P1,585 1437 637 1466']
34	Late	Late	JJ	O	late	amod	36	10	['P1,654 1438 724 1466']
35	Cretaceous	Cretaceous	JJ	O	cretaceous	amod	36	10	['P1,741 1438 925 1466']
36	(	(	NN	O	(	prep_from	31	10	['P1,944 1436 1014 1472']
37	late	late	JJ	O	late	amod	39	10	['P1,944 1436 1014 1472']
38	Maastrichtian	Maastrichtian	JJ	MISC	maastrichtian	amod	39	10	['P1,150 1482 408 1517']
39	)	)	NN	O	)	dep	36	10	['P1,150 1482 408 1517']
40	Miria	Miria	NNP	O	Miria	nn	41	10	['P1,433 1483 528 1511']
41	Formation	Formation	NN	O	formation	dep	36	10	['P1,553 1483 738 1511']
42	in	in	IN	O	in	_	0	10	['P1,762 1483 794 1511']
43	the	the	DT	O	the	det	45	10	['P1,818 1482 871 1511']
44	Giralia	Giralia	NNP	LOCATION	Giralia	nn	45	10	['P1,895 1481 1014 1511']
45	Range	Range	NNP	LOCATION	Range	prep_in	41	10	['P1,150 1528 262 1566']
46	,	,	,	O	,	_	0	10	['P1,150 1528 262 1566']
47	south	south	RB	O	south	advmod	36	10	['P1,276 1528 370 1557']
48	of	of	IN	O	of	_	0	10	['P1,383 1528 416 1557']
49	Exmouth	Exmouth	NNP	LOCATION	Exmouth	nn	52	10	['P1,428 1528 581 1557']
50	Gulf	Gulf	NNP	LOCATION	Gulf	nn	52	10	['P1,595 1528 672 1557']
51	(	(	NNP	O	(	nn	52	10	['P1,683 1529 781 1567']
52	Long	Long	NNP	O	Long	prep_of	47	10	['P1,683 1529 781 1567']
53	1992	1992	CD	DATE	1992	num	54	10	['P1,795 1528 889 1564']
54	)	)	CD	NUMBER	)	dep	36	10	['P1,795 1528 889 1564']
55	.	.	.	O	.	_	0	10	['P1,795 1528 889 1564']

1	In	In	IN	O	in	_	0	11	['P1,903 1529 936 1557']
2	July	July	NNP	DATE	July	prep_in	23	11	['P1,947 1528 1014 1566']
3	1992	1992	CD	DATE	1992	num	2	11	['P1,152 1574 224 1602']
4	a	a	DT	O	a	det	14	11	['P1,246 1582 263 1602']
5	University	University	NNP	ORGANIZATION	University	dep	14	11	['P1,284 1574 463 1612']
6	of	of	IN	ORGANIZATION	of	_	0	11	['P1,485 1574 518 1603']
7	Western	Western	NNP	ORGANIZATION	Western	nn	12	11	['P1,538 1575 678 1603']
8	Australia	Australia	NNP	ORGANIZATION	Australia	nn	12	11	['P1,699 1574 853 1603']
9	Geology	Geology	NNP	ORGANIZATION	Geology	nn	12	11	['P1,875 1573 1015 1612']
10	Department	Department	NNP	ORGANIZATION	Department	nn	12	11	['P1,152 1619 362 1657']
11	second	second	JJ	ORDINAL	second	amod	12	11	['P1,385 1620 506 1648']
12	year	year	NN	DURATION	year	prep_of	5	11	['P1,530 1628 606 1658']
13	field	field	NN	O	field	nn	14	11	['P1,630 1619 707 1648']
14	excusion	excusion	NN	O	excusion	nsubj	23	11	['P1,731 1621 884 1648']
15	to	to	TO	O	to	_	0	11	['P1,907 1624 939 1648']
16	the	the	DT	O	the	det	18	11	['P1,963 1619 1015 1648']
17	Molecap	Molecap	NNP	O	Molecap	nn	18	11	['P1,151 1664 293 1703']
18	Quarry	Quarry	NNP	O	Quarry	prep_to	14	11	['P1,313 1665 446 1703']
19	,	,	,	O	,	_	0	11	['P1,313 1665 446 1703']
20	at	at	IN	O	at	_	0	11	['P1,466 1669 496 1693']
21	Gingin	Gingin	NNP	LOCATION	Gingin	prep_at	14	11	['P1,515 1665 641 1704']
22	,	,	,	O	,	_	0	11	['P1,515 1665 641 1704']
23	discovered	discovered	VBD	O	discover	_	0	11	['P1,661 1665 844 1694']
24	the	the	DT	O	the	det	27	11	['P1,863 1665 913 1694']
25	third	third	JJ	ORDINAL	third	amod	27	11	['P1,934 1665 1015 1693']
26	dinosaur	dinosaur	NN	O	dinosaur	nn	27	11	['P1,151 1710 304 1738']
27	bone	bone	NN	O	bone	dobj	23	11	['P1,324 1710 408 1739']
28	from	from	IN	O	from	_	0	11	['P1,431 1711 513 1739']
29	the	the	DT	O	the	det	30	11	['P1,536 1711 588 1739']
30	state	state	NN	O	state	prep_from	23	11	['P1,610 1715 697 1739']
31	.	.	.	O	.	_	0	11	['P1,610 1715 697 1739']

1	The	The	DT	O	the	det	2	12	['P1,720 1711 783 1739']
2	specimen	specimen	NN	O	specimen	nsubjpass	16	12	['P1,806 1712 975 1750']
3	,	,	,	O	,	_	0	12	['P1,806 1712 975 1750']
4	a	a	DT	O	a	det	7	12	['P1,998 1720 1015 1739']
5	small	small	JJ	O	small	amod	7	12	['P1,152 1756 240 1784']
6	pedal	pedal	NN	O	pedal	nn	7	12	['P1,252 1756 344 1794']
7	phalanx	phalanx	NN	O	phalanx	appos	2	12	['P1,355 1756 498 1794']
8	,	,	,	O	,	_	0	12	['P1,355 1756 498 1794']
9	was	was	VBD	O	be	auxpass	10	12	['P1,510 1766 575 1785']
10	found	found	VBN	O	find	_	0	12	['P1,586 1756 686 1785']
11	by	by	IN	O	by	_	0	12	['P1,697 1757 738 1795']
12	student	student	NN	O	student	nn	14	12	['P1,749 1757 874 1785']
13	Michael	Michael	NNP	PERSON	Michael	nn	14	12	['P1,885 1756 1016 1784']
14	Green	Green	NNP	PERSON	Green	agent	10	12	['P1,152 1802 256 1830']
15	and	and	CC	O	and	_	0	12	['P1,280 1801 343 1830']
16	donated	donated	VBN	O	donate	conj_and	10	12	['P1,367 1802 510 1831']
17	to	to	TO	O	to	_	0	12	['P1,534 1807 566 1831']
18	the	the	DT	O	the	det	21	12	['P1,590 1802 643 1831']
19	Western	Western	JJ	MISC	western	amod	21	12	['P1,666 1803 809 1831']
20	Australian	Australian	JJ	MISC	australian	amod	21	12	['P1,833 1802 1016 1831']
21	Museum	Museum	NN	O	museum	prep_to	16	12	['P1,152 1847 308 1875']
22	.	.	.	O	.	_	0	12	['P1,152 1847 308 1875']

1	The	The	DT	O	the	det	2	13	['P1,322 1847 385 1875']
2	bone	bone	NN	O	bone	_	0	13	['P1,398 1846 480 1876']
3	(	(	CD	NUMBER	(	num	4	13	['P1,495 1847 609 1883']
4	WAM	WAM	NNP	ORGANIZATION	WAM	dep	2	13	['P1,495 1847 609 1883']
5	92.7.1	92.7.1	CD	NUMBER	92.7.1	num	4	13	['P1,623 1848 726 1881']
6	,	,	,	O	,	_	0	13	['P1,623 1848 726 1881']
7	Figure	Figure	NNP	O	Figure	appos	4	13	['P1,740 1848 848 1887']
8	1	1	CD	NUMBER	1	num	7	13	['P1,862 1849 887 1881']
9	,	,	,	O	,	_	0	13	['P1,862 1849 887 1881']
10	2	2	CD	NUMBER	2	num	7	13	['P1,901 1848 919 1876']
11	E	E	NN	O	e	dep	7	13	['P1,932 1848 1015 1883']
12	.	-	.	O	.	_	0	13	['P1,932 1848 1015 1883']

1	?	H	NN	O	?	_	0	14	['P1,932 1848 1015 1883']
2	.	)	.	O	.	_	0	14	['P1,932 1848 1015 1883']

1	I-I		NN	O	i-i	nn	2	15	['P1,932 1848 1015 1883']
2	)		NN	O	)	nsubjpass	4	15	['P1,932 1848 1015 1883']
3	was	was	VBD	O	be	auxpass	4	15	['P1,153 1901 218 1920']
4	found	found	VBN	O	find	_	0	15	['P1,235 1892 335 1921']
5	in	in	FW	O	in	nn	6	15	['P1,353 1893 382 1920']
6	situ	situ	FW	O	situ	advmod	4	15	['P1,399 1893 456 1921']
7	in	in	IN	O	in	_	0	15	['P1,475 1893 506 1921']
8	the	the	DT	O	the	det	10	15	['P1,525 1893 575 1921']
9	Molecap	Molecap	NNP	PERSON	Molecap	nn	10	15	['P1,593 1892 736 1932']
10	Greensand	Greensand	NNP	PERSON	Greensand	prep_in	4	15	['P1,754 1893 935 1922']
11	at	at	IN	O	at	_	0	15	['P1,953 1897 983 1921']
12	a	a	DT	O	a	det	13	15	['P1,1000 1902 1016 1921']
13	height	height	NN	O	height	prep_at	4	15	['P1,153 1938 259 1976']
14	of	of	IN	O	of	prep	13	15	['P1,273 1938 306 1966']
15	about	about	IN	O	about	pcomp	14	15	['P1,319 1938 414 1966']
16	2	2	CD	NUMBER	2	num	17	15	['P1,427 1939 446 1966']
17	metres	metres	NNS	O	metre	pobj	15	15	['P1,460 1942 572 1967']
18	above	above	IN	O	above	_	0	15	['P1,587 1939 687 1967']
19	the	the	DT	O	the	det	21	15	['P1,701 1939 752 1967']
20	quarry	quarry	NN	O	quarry	nn	21	15	['P1,766 1948 879 1977']
21	floor	floor	NN	O	floor	prep_above	17	15	['P1,893 1939 971 1967']
22	in	in	IN	O	in	_	0	15	['P1,986 1940 1017 1966']
23	the	the	DT	O	the	det	25	15	['P1,155 1983 205 2011']
24	western	western	JJ	O	western	amod	25	15	['P1,227 1987 362 2011']
25	face	face	NN	O	face	prep_in	21	15	['P1,385 1983 450 2011']
26	of	of	IN	O	of	_	0	15	['P1,473 1984 507 2012']
27	the	the	DT	O	the	det	28	15	['P1,528 1984 580 2012']
28	quarry	quarry	NN	O	quarry	prep_of	25	15	['P1,602 1993 725 2022']
29	.	.	.	O	.	_	0	15	['P1,602 1993 725 2022']

1	The	The	DT	O	the	det	2	16	['P1,749 1984 811 2012']
2	age	age	NN	O	age	nsubjpass	9	16	['P1,833 1993 891 2022']
3	of	of	IN	O	of	_	0	16	['P1,913 1984 946 2012']
4	the	the	DT	O	the	det	6	16	['P1,966 1984 1017 2012']
5	Molecap	Molecap	NNP	PERSON	Molecap	nn	6	16	['P1,154 2028 295 2068']
6	Greensand	Greensand	NNP	PERSON	Greensand	prep_of	2	16	['P1,312 2029 495 2058']
7	has	has	VBZ	O	have	aux	9	16	['P1,512 2029 568 2058']
8	been	been	VBN	O	be	auxpass	9	16	['P1,585 2029 664 2058']
9	assessed	assessed	VBN	O	assess	_	0	16	['P1,680 2029 821 2058']
10	as	as	IN	O	as	mark	11	16	['P1,839 2038 871 2058']
11	ranging	ranging	VBG	O	range	advcl	9	16	['P1,889 2030 1017 2068']
12	from	from	IN	O	from	prep	11	16	['P1,155 2074 234 2103']
