             argillite            argillite ['P1,760 1409 873 1442']
                     ,                    , ['P1,760 1409 873 1442']
             siltstone            siltstone ['P1,888 1408 1009 1436']
                     ,                    , ['P1,888 1408 1009 1436']
            quartzitic           quartzitic ['P1,1024 1405 1151 1438']
             siltstone            siltstone ['P1,1166 1404 1286 1432']
                     ,                    , ['P1,1166 1404 1286 1432']
                  limy                 limy ['P1,1302 1402 1362 1433']
             siltstone            siltstone ['P1,1377 1400 1497 1429']
                     ,                    , ['P1,1377 1400 1497 1429']
             sandstone            sandstone ['P1,1513 1397 1653 1426']
                     ,                    , ['P1,1513 1397 1653 1426']
                  limy                 limy ['P1,1668 1395 1729 1427']
             sandstone            sandstone ['P1,1744 1393 1885 1422']
                     ,                    , ['P1,1744 1393 1885 1422']
             quartzite            quartzite ['P1,421 1457 543 1490']
                     ,                    , ['P1,421 1457 543 1490']
          conglomerate         conglomerate ['P1,554 1455 742 1487']
                     ,                    , ['P1,554 1455 742 1487']
         conglomeratic        conglomeratic ['P1,753 1450 942 1484']
             sandstone            sandstone ['P1,953 1449 1091 1478']
                     ,                    , ['P1,953 1449 1091 1478']
                 sandy                sandy ['P1,1103 1447 1178 1479']
           calcarenite          calcarenite ['P1,1189 1444 1340 1474']
                     ,                    , ['P1,1189 1444 1340 1474']
                 sandy                sandy ['P1,1352 1442 1428 1474']
             limestone            limestone ['P1,1438 1441 1574 1470']
                     ,                    , ['P1,1438 1441 1574 1470']
           calcarenite          calcarenite ['P1,1585 1437 1736 1467']
                     ,                    , ['P1,1585 1437 1736 1467']
                  lime                 lime ['P1,1748 1436 1805 1461']
X             mudstone             mud-ston ['P1,1815 1434 1885 1460', 'P1,422 1504 499 1530']
X                    ,                   e, ['P1,1815 1434 1885 1460', 'P1,422 1504 499 1530']
            wackestone           wackestone ['P1,513 1498 678 1527']
                     ,                    , ['P1,513 1498 678 1527']
            bioclastic           bioclastic ['P1,691 1495 820 1522']
             packstone            packstone ['P1,834 1494 977 1526']
                     ,                    , ['P1,834 1494 977 1526']
