              Republic             Republic ['P1,580 948 716 971']
                     .                    . ['P1,580 948 716 971']
              Received             Received ['P1,737 948 879 967']
                     :                    : ['P1,737 948 879 967']
                August               August ['P1,901 949 1003 972']
                  1979                 1979 ['P1,1025 948 1083 967']
X                    .                    , ['P1,1025 948 1083 967']
          INTRODUCTION         INTRODUCTION ['P1,928 1047 1227 1071']
                   The                  The ['P1,401 1146 473 1176']
              dinosaur             dinosaur ['P1,506 1147 672 1176']
              material             material ['P1,706 1146 868 1177']
             collected            collected ['P1,902 1146 1074 1176']
                    by                   by ['P1,1107 1147 1152 1185']
                   the                  the ['P1,1186 1146 1245 1177']
                Soviet               Soviet ['P1,1278 1146 1626 1185']
X                    .                    - ['P1,1278 1146 1626 1185']
X                    ?                    M ['P1,1278 1146 1626 1185']
X                    .                    o ['P1,1278 1146 1626 1185']
X            Mongolian              ngolian ['P1,1278 1146 1626 1185']
X      Paleontological     Paleont-ologieal ['P1,1659 1146 1825 1176', 'P1,332 1199 482 1238']
           Expeditions          Expeditions ['P1,510 1199 740 1237']
                   has                  has ['P1,767 1200 830 1229']
                lately               lately ['P1,858 1199 967 1238']
                  been                 been ['P1,996 1200 1086 1230']
          supplemented         supplemented ['P1,1115 1199 1390 1238']
                    by                   by ['P1,1417 1200 1462 1238']
                   the                  the ['P1,1491 1199 1550 1229']
           fragmentary          fragmentary ['P1,1579 1200 1824 1238']
             skeletons            skeletons ['P1,336 1252 514 1283']
                    of                   of ['P1,548 1253 586 1282']
               unusual              unusual ['P1,620 1252 774 1282']
           carnivorous          carnivorous ['P1,808 1254 1039 1282']
X           dinosauris           dinosaurst ['P1,1075 1252 1390 1284']
X                    ?                    h ['P1,1075 1252 1390 1284']
X                  the                    e ['P1,1075 1252 1390 1284']
          segnosaurids         segnosaurids ['P1,1424 1252 1673 1291']
                     (                    ( ['P1,1708 1251 1825 1289']
                 Perle                Perle ['P1,1708 1251 1825 1289']
                  1979                 1979 ['P1,337 1305 443 1343']
                     )                    ) ['P1,337 1305 443 1343']
                     .                    . ['P1,337 1305 443 1343']
                   The                  The ['P1,467 1305 538 1335']
               remains              remains ['P1,561 1307 715 1336']
                    of                   of ['P1,735 1306 773 1335']
                 these                these ['P1,794 1305 892 1336']
             dinosaurs            dinosaurs ['P1,915 1305 1100 1335']
X                 oome                 come ['P1,1121 1314 1219 1336']
                  from                 from ['P1,1242 1306 1334 1335']
                   the                  the ['P1,1357 1305 1416 1335']
                  late                 late ['P1,1439 1305 1508 1336']
            Cretaceous           Cretaceous ['P1,1532 1305 1744 1335']
X             deposits            de-posits ['P1,1767 1305 1826 1336', 'P1,333 1360 443 1397']
                    of                   of ['P1,467 1360 504 1389']
               several              several ['P1,529 1359 665 1389']
            localities           localities ['P1,691 1359 863 1389']
                    in                   in ['P1,889 1361 924 1389']
                    SE                   SE ['P1,950 1359 1001 1389']
              Mongolia             Mongolia ['P1,1026 1358 1216 1397']
                     .                    . ['P1,1026 1358 1216 1397']
                  From                 From ['P1,1243 1360 1348 1389']
                  this                 this ['P1,1374 1359 1442 1389']
            collection           collection ['P1,1467 1358 1665 1395']
                     ,                    , ['P1,1467 1358 1665 1395']
X          Segnosaurus         Segno-saurus ['P1,1691 1359 1826 1396', 'P1,334 1420 459 1441']
           galbinensis          galbinensis ['P1,481 1410 697 1450']
X                Perle                Pelle ['P1,716 1411 829 1449']
                     ,                    , ['P1,716 1411 829 1449']
                  1979                 1979 ['P1,853 1412 935 1442']
                   has                  has ['P1,956 1411 1018 1442']
                  been                 been ['P1,1038 1412 1128 1441']
             described            described ['P1,1150 1412 1332 1442']
                    up                   up ['P1,1354 1421 1400 1450']
                    to                   to ['P1,1422 1415 1456 1442']
                   now                  now ['P1,1478 1420 1556 1442']
                     (                    ( ['P1,1578 1411 1694 1449']
                 Perle                Perle ['P1,1578 1411 1694 1449']
                  1979                 1979 ['P1,1717 1412 1824 1448']
                     )                    ) ['P1,1717 1412 1824 1448']
                     .                    . ['P1,1717 1412 1824 1448']
                    In                   In ['P1,335 1466 374 1495']
                   the                  the ['P1,396 1465 455 1496']
               present              present ['P1,477 1468 620 1504']
                 paper                paper ['P1,642 1474 761 1504']
                     ,                    , ['P1,642 1474 761 1504']
                 other                other ['P1,782 1464 884 1495']
       representatives      representatives ['P1,907 1465 1207 1504']
                    of                   of ['P1,1227 1465 1265 1494']
                  this                 this ['P1,1286 1464 1355 1495']
                 group                group ['P1,1376 1473 1488 1504']
                   are                  are ['P1,1509 1474 1570 1495']
           preliminary          preliminary ['P1,1591 1464 1825 1504']
              reported             reported ['P1,335 1518 509 1557']
                     :                    : ['P1,335 1518 509 1557']
          Erlikosaurus         Erlikosaurus ['P1,536 1518 785 1548']
X             andrewsi            andreulsi ['P1,809 1517 985 1547']
                 Perle                Perle ['P1,1007 1517 1110 1548']
                  gen.                 gen. ['P1,1134 1526 1211 1556']
                    et                   et ['P1,1237 1520 1271 1548']
                    sp                   sp ['P1,1295 1527 1343 1556']
                     .                    . ['P1,1295 1527 1343 1556']
                    n.                   n. ['P1,1370 1527 1401 1548']
                   and                  and ['P1,1427 1517 1496 1548']
                     a                    a ['P1,1520 1527 1538 1548']
              specimen             specimen ['P1,1563 1519 1741 1556']
X           determined          de-termined ['P1,1767 1517 1826 1548', 'P1,335 1572 510 1602']
                    as                   as ['P1,528 1581 567 1602']
X                    ?                    " ['P1,589 1572 863 1610']
          segnosaurian         segnosaurian ['P1,589 1572 863 1610']
                 indet                indet ['P1,886 1571 1014 1601']
                     .                    . ['P1,886 1571 1014 1601']
X                    ?                    " ['P1,886 1571 1014 1601']
                     (                    ( ['P1,1039 1570 1243 1608']
X                    ?                    ' ['P1,1039 1570 1243 1608']
X             dinosaur            *dinosaur ['P1,1039 1570 1243 1608']
                  from                 from ['P1,1266 1571 1358 1601']
                 Khara                Khara ['P1,1381 1570 1501 1601']
X               Khutu1               Khutul ['P1,1524 1570 1696 1601']
X                    ?                    " ['P1,1524 1570 1696 1601']
                     :                    : ['P1,1524 1570 1696 1601']
X             Barsbold            Bars-bold ['P1,1722 1571 1827 1601', 'P1,337 1623 418 1653']
                  1979                 1979 ['P1,442 1625 535 1654']
                     :                    : ['P1,442 1625 535 1654']
                   fig                  fig ['P1,558 1623 618 1663']
                     .                    . ['P1,558 1623 618 1663']
X                   lc                   1c ['P1,642 1625 702 1661']
                     )                    ) ['P1,642 1625 702 1661']
                     .                    . ['P1,642 1625 702 1661']
                   All                  All ['P1,723 1624 781 1654']
                   the                  the ['P1,804 1624 862 1654']
             specimens            specimens ['P1,884 1624 1083 1662']
               provide              provide ['P1,1105 1623 1250 1662']
            relatively           relatively ['P1,1271 1623 1461 1662']
              complete             complete ['P1,1481 1623 1657 1663']
                  data                 data ['P1,1678 1622 1759 1654']
                    on                   on ['P1,1782 1633 1826 1653']
                   the                  the ['P1,336 1676 394 1707']
            morphology           morphology ['P1,418 1676 649 1717']
                    of                   of ['P1,670 1677 708 1707']
                 these                these ['P1,732 1676 829 1708']
              peculiar             peculiar ['P1,853 1676 1010 1716']
           carnivorous          carnivorous ['P1,1033 1677 1262 1707']
             dinosaurs            dinosaurs ['P1,1286 1677 1481 1707']
                     .                    . ['P1,1286 1677 1481 1707']
                   The                  The ['P1,401 1729 472 1761']
                materi               materi ['P1,499 1730 660 1761']
X                    .                    a ['P1,499 1730 660 1761']
X                   al                    l ['P1,499 1730 660 1761']
                    of                   of ['P1,684 1731 722 1760']
           Segnosaurus          Segnosaurus ['P1,747 1730 1003 1769']
                     ,                    , ['P1,747 1730 1003 1769']
X         Erlikosaurus         Krlikosaurus ['P1,1029 1729 1279 1759']
                   and                  and ['P1,1302 1730 1375 1761']
                    of                   of ['P1,1399 1730 1436 1760']
                   one                  one ['P1,1460 1739 1527 1760']
          undetermined         undetermined ['P1,1555 1729 1827 1760']
           generically          generically ['P1,334 1782 549 1822']
          segnosaurian         segnosaurian ['P1,578 1784 831 1822']
              specimen             specimen ['P1,858 1784 1037 1822']
              provides             provides ['P1,1064 1782 1230 1822']
              evidence             evidence ['P1,1258 1782 1426 1813']
                    of                   of ['P1,1454 1783 1490 1812']
                 their                their ['P1,1518 1782 1609 1813']
            relatively           relatively ['P1,1638 1782 1826 1821']
                 close                close ['P1,335 1835 427 1865']
                mutual               mutual ['P1,458 1835 595 1866']
         relationships        relationships ['P1,625 1835 886 1874']
                     .                    . ['P1,625 1835 886 1874']
                    At                   At ['P1,918 1836 966 1866']
                   the                  the ['P1,997 1835 1055 1867']
                  same                 same ['P1,1087 1844 1183 1865']
                  time                 time ['P1,1214 1836 1309 1872']
                     ,                    , ['P1,1214 1836 1309 1872']
                    it                   it ['P1,1340 1836 1367 1866']
                 shows                shows ['P1,1398 1835 1513 1866']
                  that                 that ['P1,1544 1835 1620 1865']
                  they                 they ['P1,1652 1834 1735 1874']
                   are                  are ['P1,1767 1844 1825 1865']
           essentially          essentially ['P1,334 1888 540 1927']
             different            different ['P1,566 1889 737 1919']
                  from                 from ['P1,763 1890 856 1919']
                   all                  all ['P1,879 1888 928 1919']
                 other                other ['P1,952 1888 1054 1919']
              theropod             theropod ['P1,1080 1888 1254 1928']
                groups               groups ['P1,1277 1897 1419 1928']
                     ,                    , ['P1,1277 1897 1419 1928']
              although             although ['P1,1445 1888 1617 1927']
                  they                 they ['P1,1643 1888 1727 1927']
                  also                 also ['P1,1753 1887 1826 1918']
.                  188                      ['P1,329 2078 391 2106']
               RINCHEN              RINCHEN ['P1,689 2085 842 2106']
              BARSBOLD             BARSBOLD ['P1,863 2086 1044 2106']
X                    &                   f. ['P1,1065 2086 1085 2105']
            ALTANGEREL           ALTANGEREL ['P1,1106 2086 1333 2105']
                 PERLE                PERLE ['P1,1355 2087 1462 2106']
               display              display ['P1,327 2181 467 2222']
X                so-me                 some ['P1,487 2191 583 2213']
          similarities         similarities ['P1,604 2181 822 2213']
                  with                 with ['P1,840 2182 929 2213']
                  them                 them ['P1,949 2182 1058 2213']
                     .                    . ['P1,949 2182 1058 2213']
                    In                   In ['P1,1079 2183 1119 2213']
                   the                  the ['P1,1139 2182 1199 2214']
               present              present ['P1,1218 2186 1364 2222']
               authors              authors ['P1,1384 2183 1541 2214']
X                    ?                    ' ['P1,1384 2183 1541 2214']
               opinion              opinion ['P1,1561 2184 1719 2221']
                     ,                    , ['P1,1561 2184 1719 2221']
                  they                 they ['P1,1743 2183 1827 2223']
               deserve              deserve ['P1,328 2235 474 2266']
                   the                  the ['P1,500 2235 560 2266']
              erection             erection ['P1,585 2236 742 2265']
                    of                   of ['P1,767 2236 805 2265']
                     a                    a ['P1,827 2245 848 2265']
                   new                  new ['P1,874 2245 964 2272']
                     ,                    , ['P1,874 2245 964 2272']
              separate             separate ['P1,990 2238 1152 2274']
          infraordinal         infraordinal ['P1,1179 2235 1415 2266']
                  unit                 unit ['P1,1442 2236 1828 2274']
X                    .                    ? ['P1,1442 2236 1828 2274']
                     ?                    ? ['P1,1442 2236 1828 2274']
X                    .                    ? ['P1,1442 2236 1828 2274']
           Segnosauria          Segnosauria ['P1,1442 2236 1828 2274']
                  nov.                 nov. ['P1,328 2297 419 2325']
                     ,                    , ['P1,328 2297 419 2325']
                within               within ['P1,441 2287 568 2319']
                   the                  the ['P1,589 2287 650 2319']
              suborder             suborder ['P1,671 2287 844 2319']
             Theropoda            Theropoda ['P1,865 2287 1084 2326']
                     .                    . ['P1,865 2287 1084 2326']
                   The                  The ['P1,395 2339 468 2370']
              material             material ['P1,488 2339 651 2370']
             described            described ['P1,674 2339 858 2371']
                  here                 here ['P1,877 2340 961 2371']
                    is                   is ['P1,982 2341 1010 2370']
                housed               housed ['P1,1030 2339 1165 2371']
                    at                   at ['P1,1187 2342 1221 2371']
                   the                  the ['P1,1243 2340 1302 2372']
            Department           Department ['P1,1324 2341 1559 2379']
                    of                   of ['P1,1580 2341 1618 2372']
X         Paleontology        Paleonto-logy ['P1,1638 2340 1828 2372', 'P1,328 2391 410 2433']
                   and                  and ['P1,430 2393 500 2424']
          Stratigraphy         Stratigraphy ['P1,517 2391 780 2432']
                     ,                    , ['P1,517 2391 780 2432']
            Geological           Geological ['P1,800 2391 1004 2432']
             Institute            Institute ['P1,1024 2392 1202 2431']
