                Rapids               Rapids ['P1,1695 684 1792 714']
             Formation            Formation ['P1,1801 683 1952 709']
                     (                    ( ['P1,1962 683 2047 714']
                 black                black ['P1,1962 683 2047 714']
                 shale                shale ['P1,2057 683 2137 713']
                     ,                    , ['P1,2057 683 2137 713']
              mudstone             mudstone ['P1,23 725 169 755']
                     ,                    , ['P1,23 725 169 755']
                 minor                minor ['P1,178 724 263 751']
            carbonates           carbonates ['P1,271 725 443 756']
                     )                    ) ['P1,271 725 443 756']
                     .                    . ['P1,271 725 443 756']
                   The                  The ['P1,92 768 146 792']
            apparently           apparently ['P1,159 767 309 798']
                simple               simple ['P1,323 767 413 798']
          stratigraphy         stratigraphy ['P1,426 768 598 798']
                    is                   is ['P1,610 768 631 793']
           complicated          complicated ['P1,645 768 817 798']
                    by                   by ['P1,830 768 864 798']
               lateral              lateral ['P1,877 767 966 792']
                facies               facies ['P1,980 767 1059 792']
            variations           variations ['P1,1072 766 1222 796']
                     ,                    , ['P1,1072 766 1222 796']
             including            including ['P1,1236 767 1367 797']
                     a                    a ['P1,1380 774 1396 792']
           continental          continental ['P1,1409 767 1567 792']
                    to                   to ['P1,1581 770 1608 792']
                marine               marine ['P1,1622 766 1720 792']
            transition           transition ['P1,1733 766 1869 792']
                 among                among ['P1,1882 773 1979 797']
                   the                  the ['P1,1992 766 2035 791']
                 Lower                Lower ['P1,2048 767 2139 791']
              Devonian             Devonian ['P1,25 807 159 833']
            formations           formations ['P1,170 807 335 838']
                     ,                    , ['P1,170 807 335 838']
                   and                  and ['P1,347 808 398 833']
             biohermal            biohermal ['P1,408 808 553 833']
           development          development ['P1,564 808 743 839']
                    in                   in ['P1,754 808 781 833']
                   the                  the ['P1,790 808 835 833']
         Kwataboahegan        Kwataboahegan ['P1,844 807 1072 838']
             Formation            Formation ['P1,1082 807 1242 832']
                     .                    . ['P1,1082 807 1242 832']
                   The                  The ['P1,1254 807 1308 832']
                  Long                 Long ['P1,1318 808 1392 838']
                Rapids               Rapids ['P1,1403 807 1500 838']
             Formation            Formation ['P1,1511 807 1661 832']
                    is                   is ['P1,1671 807 1692 832']
                    of                   of ['P1,1703 807 1735 832']
            particular           particular ['P1,1744 806 1881 837']
              interest             interest ['P1,1892 806 2004 836']
                     ,                    , ['P1,1892 806 2004 836']
                    as                   as ['P1,2016 813 2044 832']
                recent               recent ['P1,2055 810 2140 831']
X             39nodont             conodont ['P1,19 849 335 885']
X                    ?                    - ['P1,19 849 335 885']
            brachiopod           brachiopod ['P1,19 849 335 885']
               studies              studies ['P1,344 849 439 875']
               suggest              suggest ['P1,447 853 548 880']
                  that                 that ['P1,555 849 611 875']
                  both                 both ['P1,618 849 683 875']
                   the                  the ['P1,691 849 735 875']
              Givetian             Givetian ['P1,742 848 1003 875']
X                    .                    - ['P1,742 848 1003 875']
X                    ?                    F ['P1,742 848 1003 875']
X                    .                    r ['P1,742 848 1003 875']
X             Frasnian               asnian ['P1,742 848 1003 875']
                     (                    ( ['P1,1011 848 1227 879']
                Middle               Middle ['P1,1011 848 1227 879']
X                    .                    - ['P1,1011 848 1227 879']
X                    ?                    U ['P1,1011 848 1227 879']
X                    .                    p ['P1,1011 848 1227 879']
X                Upper                  per ['P1,1011 848 1227 879']
              Devonian             Devonian ['P1,1234 848 1380 879']
                     )                    ) ['P1,1234 848 1380 879']
                   and                  and ['P1,1388 848 1440 874']
              Frasnian             Frasnian ['P1,1447 848 1746 874']
X                    .                    - ['P1,1447 848 1746 874']
X                    ?                    F ['P1,1447 848 1746 874']
X                    .                    a ['P1,1447 848 1746 874']
X            Famennian              mennian ['P1,1447 848 1746 874']
            boundaries           boundaries ['P1,1753 847 1909 873']
                 occur                occur ['P1,1916 855 1994 873']
                within               within ['P1,2002 847 2090 873']
                   the                  the ['P1,2097 848 2141 873']
                  unit                 unit ['P1,124 894 250 943']
                     .                    . ['P1,124 894 250 943']
          INTRODUCTION         INTRODUCTION ['P1,862 1090 1397 1150']
             Paleozoic            Paleozoic ['P1,253 1232 584 1294']
                 rocks                rocks ['P1,603 1233 786 1294']
                    of                   of ['P1,807 1233 885 1294']
                   the                  the ['P1,897 1233 1004 1295']
                Hudson               Hudson ['P1,1023 1233 1299 1295']
              Platform             Platform ['P1,1318 1233 1634 1295']
              underlie             underlie ['P1,1653 1231 1933 1295']
                     a                    a ['P1,1952 1249 1992 1294']
                  vast                 vast ['P1,2009 1241 2145 1294']
                  area                 area ['P1,118 1347 262 1390']
                    of                   of ['P1,283 1330 358 1392']
                  some                 some ['P1,375 1347 551 1392']
                   1.2                  1.2 ['P1,572 1331 663 1392']
               million              million ['P1,683 1329 926 1392']
X                  kmz                 krn2 ['P1,948 1332 1093 1392']
               centred              centred ['P1,1113 1331 1366 1394']
                    on                   on ['P1,1386 1349 1474 1394']
                Hudson               Hudson ['P1,1496 1332 1770 1394']
                   Bay                  Bay ['P1,1793 1331 1945 1405']
                     .                    . ['P1,1793 1331 1945 1405']
                  They                 They ['P1,1971 1330 2145 1404']
                   are                  are ['P1,120 1443 223 1486']
           distributed          distributed ['P1,261 1426 631 1488']
                 among                among ['P1,674 1443 906 1501']
                  four                 four ['P1,947 1426 1095 1488']
                  main                 main ['P1,1135 1426 1309 1488']
              tectonic             tectonic ['P1,1345 1426 1619 1488']
              elements             elements ['P1,1659 1428 1978 1498']
                     ,                    , ['P1,1659 1428 1978 1498']
                   viz                  viz ['P1,2022 1426 2141 1486']
                     .                    . ['P1,2022 1426 2141 1486']
                Hudson               Hudson ['P1,118 1521 390 1583']
                   Bay                  Bay ['P1,416 1523 568 1596']
                     ,                    , ['P1,416 1523 568 1596']
                 Moose                Moose ['P1,601 1522 830 1583']
                 River                River ['P1,856 1521 1042 1583']
                   and                  and ['P1,1070 1522 1197 1583']
