                  nov.                 nov. ['P1,1900 1601 1963 1621']
                    sp                   sp ['P1,1985 1601 2029 1629']
                     .                    . ['P1,1985 1601 2029 1629']
                    et                   et ['P1,2051 1594 2082 1621']
X   Nordenskjoeldaster  1Vordenskjoeidaster ['P1,79 1636 414 1674']
                     ?                    ? ['P1,427 1636 442 1666']
             australis            australis ['P1,455 1636 609 1666']
                  nov.                 nov. ['P1,624 1645 689 1665']
                   sp.                  sp. ['P1,703 1645 759 1673']
                     ,                    , ['P1,703 1645 759 1673']
                   des                  des ['P1,773 1635 828 1665']
X            sp?cimens            specimens ['P1,843 1635 1019 1672']
               proches              proches ['P1,1032 1634 1162 1672']
                  d'un                 d'un ['P1,1177 1634 1249 1664']
             spatangue            spatangue ['P1,1263 1637 1440 1672']
X             europ?en             europeen ['P1,1454 1635 1620 1671']
                     ,                    , ['P1,1454 1635 1620 1671']
             Micraster            Micraster ['P1,1632 1634 1799 1664']
                   aff                  aff ['P1,1813 1633 1863 1664']
                     .                    . ['P1,1813 1633 1863 1664']
             regularis            regularis ['P1,1876 1634 2035 1671']
                     ,                    , ['P1,1876 1634 2035 1671']
                    et                   et ['P1,2051 1636 2082 1663']
                  deux                 deux ['P1,82 1678 164 1709']
                autres               autres ['P1,175 1681 283 1708']
                taxons               taxons ['P1,295 1681 409 1708']
                   qui                  qui ['P1,421 1678 475 1715']
                 n'ont                n'ont ['P1,487 1677 574 1707']
                    pu                   pu ['P1,585 1687 629 1715']
X                 ?tre                 etre ['P1,641 1678 708 1707']
X            identi??s           identifies ['P1,720 1676 880 1707']
                    au                   au ['P1,893 1686 935 1707']
                  rang                 rang ['P1,946 1686 1026 1714']
X            sp?ci?que           spdcifique ['P1,1037 1676 1207 1714']
                    en                   en ['P1,1219 1686 1259 1706']
                raison               raison ['P1,1270 1676 1377 1706']
                    de                   de ['P1,1389 1675 1426 1706']
                  leur                 leur ['P1,1438 1675 1507 1706']
              mauvaise             mauvaise ['P1,1518 1676 1682 1706']
          conservation         conservation ['P1,1695 1676 1921 1705']
                     .                    . ['P1,1695 1676 1921 1705']
                    Au                   Au ['P1,1933 1675 1982 1705']
                 total                total ['P1,1993 1675 2081 1711']
                     ,                    , ['P1,1993 1675 2081 1711']
