5	Peiloceras	Psiloceras	NNP	PERSON	Peiloceras	nn	6	14	['P1,397 781 550 807']
6	Hyatt	Hyatt	NNP	PERSON	Hyatt	dep	4	14	['P1,566 781 663 812']
7	,	,	,	O	,	_	0	14	['P1,566 781 663 812']
8	Caloceras	Caloceras	NNP	PERSON	Caloceras	nn	9	14	['P1,678 780 823 807']
9	Hyatt	Hyatt	NNP	PERSON	Hyatt	conj_and	6	14	['P1,840 781 936 812']
10	,	,	,	O	,	_	0	14	['P1,840 781 936 812']
11	Alsatites	Alsatites	NNP	PERSON	Alsatites	nn	12	14	['P1,950 780 1080 807']
12	Haug	Haug	NNP	PERSON	Haug	conj_and	6	14	['P1,1097 781 1188 812']
13	,	,	,	O	,	_	0	14	['P1,1097 781 1188 812']
14	Waehneroceras	Waehneroceras	NNP	PERSON	Waehneroceras	nn	15	14	['P1,1206 780 1429 806']
15	Hyatt	Hyatt	NNP	PERSON	Hyatt	conj_and	6	14	['P1,1446 781 1546 811']
16	,	,	,	O	,	_	0	14	['P1,1446 781 1546 811']
17	Schlotheimia	Schlotheimia	NNP	PERSON	Schlotheimia	nn	18	14	['P1,1563 780 1772 806']
18	Bayle	Bayle	NNP	PERSON	Bayle	conj_and	6	14	['P1,1790 780 1892 811']
19	,	,	,	O	,	_	0	14	['P1,1790 780 1892 811']
20	Sulciferites	Sulciferites	NNP	PERSON	Sulciferites	nn	21	14	['P1,279 819 448 852']
21	Spath	Spath	NNP	PERSON	Spath	conj_and	6	14	['P1,460 820 557 852']
22	,	,	,	O	,	_	0	14	['P1,460 820 557 852']
23	Badouacia	Badouxia	NNP	PERSON	Badouacia	nn	24	14	['P1,568 821 712 847']
24	Guex	Guex	NNP	PERSON	Guex	conj_and	6	14	['P1,725 820 803 847']
25	and	and	CC	O	and	_	0	14	['P1,816 821 870 846']
26	Taylor	Taylor	NNP	PERSON	Taylor	conj_and	6	14	['P1,883 820 991 852']
27	,	,	,	O	,	_	0	14	['P1,883 820 991 852']
28	Vermiceras	Vermiceras	NNP	PERSON	Vermiceras	nn	29	14	['P1,1005 821 1173 846']
29	Hyatt	Hyatt	NNP	PERSON	Hyatt	conj_and	6	14	['P1,1186 821 1283 851']
30	,	,	,	O	,	_	0	14	['P1,1186 821 1283 851']
31	Coroniceras	Coroniceras	NNP	PERSON	Coroniceras	nn	32	14	['P1,1297 820 1474 846']
