                  thus                 thus ['P1,381 1158 452 1185']
                   low                  low ['P1,463 1159 523 1185']
               benthic              benthic ['P1,537 1157 659 1185']
             densities            densities ['P1,673 1158 813 1185']
                   and                  and ['P1,826 1157 885 1185']
           diversities          diversities ['P1,898 1157 1069 1184']
                     .                    . ['P1,898 1157 1069 1184']
            Continuous           Continuous ['P1,360 1199 551 1226']
                faunal               faunal ['P1,564 1198 666 1226']
              sampling             sampling ['P1,679 1198 826 1231']
               reveals              reveals ['P1,837 1198 947 1225']
                  nine                 nine ['P1,962 1199 1030 1226']
          associations         associations ['P1,1043 1200 1238 1227']
              directly             directly ['P1,1252 1199 1377 1232']
               related              related ['P1,1390 1199 1503 1227']
                    to                   to ['P1,1515 1200 1548 1225']
           sedimentary          sedimentary ['P1,1561 1198 1763 1231']
                facies               facies ['P1,310 1241 400 1268']
                   and                  and ['P1,413 1240 472 1268']
             dominated            dominated ['P1,486 1240 663 1268']
                    by                   by ['P1,676 1240 715 1272']
            articulate           articulate ['P1,730 1240 884 1267']
           brachiopods          brachiopods ['P1,898 1239 1109 1273']
                     ,                    , ['P1,898 1239 1109 1273']
             bryozoans            bryozoans ['P1,1124 1239 1303 1273']
                     ,                    , ['P1,1124 1239 1303 1273']
              bivalves             bivalves ['P1,1317 1240 1451 1273']
                     ,                    , ['P1,1317 1240 1451 1273']
            gastropods           gastropods ['P1,1466 1240 1642 1273']
                   and                  and ['P1,1655 1240 1714 1267']
X           trilobites           trilo-bite ['P1,1727 1240 1808 1267', 'P1,311 1282 394 1309']
X                    .                   s. ['P1,1727 1240 1808 1267', 'P1,311 1282 394 1309']
             Substrate            Substrate ['P1,412 1281 565 1309']
                   and                  and ['P1,578 1281 638 1308']
         sedimentation        sedimentation ['P1,650 1280 884 1308']
             processes            processes ['P1,898 1288 1050 1313']
                  were                 were ['P1,1063 1288 1139 1307']
             important            important ['P1,1152 1281 1319 1313']
                facets               facets ['P1,1331 1280 1426 1308']
                    of                   of ['P1,1438 1280 1473 1307']
                   the                  the ['P1,1485 1280 1535 1307']
              physical             physical ['P1,1548 1280 1682 1314']
X          environment         environ-ment ['P1,1695 1282 1829 1308', 'P1,307 1325 393 1350']
           determining          determining ['P1,406 1323 606 1355']
             community            community ['P1,617 1322 808 1355']
          organisation         organisation ['P1,822 1322 1032 1355']
                     .                    . ['P1,822 1322 1032 1355']
               Species              Species ['P1,1050 1322 1167 1355']
             diversity            diversity ['P1,1182 1322 1319 1354']
             increases            increases ['P1,1335 1323 1479 1350']
                   and                  and ['P1,1491 1323 1550 1349']
                number               number ['P1,1563 1323 1692 1350']
                    of                   of ['P1,1703 1321 1739 1348']
         opportunistic        opportunistic ['P1,310 1363 533 1396']
               species              species ['P1,546 1363 659 1396']
              declines             declines ['P1,673 1363 803 1390']
                  into                 into ['P1,816 1363 880 1390']
                   the                  the ['P1,895 1362 945 1389']
                  more                 more ['P1,957 1370 1042 1389']
                distal               distal ['P1,1056 1363 1142 1389']
                 shelf                shelf ['P1,1154 1362 1234 1389']
          environments         environments ['P1,1244 1363 1477 1390']
X                    .                    , ['P1,1244 1363 1477 1390']
                    As                   As ['P1,1492 1363 1533 1389']
                   far                  far ['P1,1545 1363 1590 1390']
                    as                   as ['P1,1602 1371 1635 1389']
                   can                  can ['P1,1645 1371 1701 1390']
                    be                   be ['P1,1715 1363 1751 1389']
           ascertained          ascertained ['P1,310 1404 495 1432']
                  from                 from ['P1,506 1404 588 1431']
           sedimentary          sedimentary ['P1,599 1404 801 1436']
           information          information ['P1,816 1403 1023 1436']
                     ,                    , ['P1,816 1403 1023 1436']
                  this                 this ['P1,1038 1404 1098 1431']
            correlates           correlates ['P1,1109 1404 1268 1431']
                  with                 with ['P1,1282 1404 1354 1431']
            decreasing           decreasing ['P1,1368 1404 1537 1436']
       environmentally      environmentally ['P1,1549 1404 1817 1436']
               related              related ['P1,308 1446 422 1473']
                stress               stress ['P1,435 1448 531 1474']
                     .                    . ['P1,435 1448 531 1474']
                 Local                Local ['P1,547 1446 637 1473']
         perturbations        perturbations ['P1,650 1445 874 1478']
                 occur                occur ['P1,887 1453 977 1472']
                    in                   in ['P1,990 1445 1021 1471']
                   the                  the ['P1,1034 1445 1085 1472']
              vicinity             vicinity ['P1,1097 1445 1220 1477']
                    of                   of ['P1,1234 1445 1269 1472']
                   the                  the ['P1,1281 1445 1332 1472']
             Laminated            Laminated ['P1,1346 1445 1522 1472']
                 Shale                Shale ['P1,1535 1446 1620 1473']
                Facies               Facies ['P1,1635 1445 1744 1473']
                     .                    . ['P1,1635 1445 1744 1473']
                Number               Number ['P1,310 1486 444 1513']
                    of                   of ['P1,457 1485 493 1513']
        characteristic       characteristic ['P1,503 1486 723 1513']
               species              species ['P1,737 1485 850 1518']
                 peaks                peaks ['P1,862 1486 954 1518']
                 three                three ['P1,966 1485 1050 1512']
                 times                times ['P1,1063 1486 1151 1513']
                 along                along ['P1,1163 1485 1251 1518']
                   the                  the ['P1,1264 1485 1314 1512']
         environmental        environmental ['P1,1327 1486 1565 1513']
              gradient             gradient ['P1,1578 1486 1711 1518']
                   and                  and ['P1,1724 1486 1782 1513']
               relates              relates ['P1,308 1528 413 1554']
              directly             directly ['P1,428 1528 553 1559']
                    to                   to ['P1,568 1529 602 1553']
                 three                three ['P1,614 1527 697 1554']
           association          association ['P1,711 1527 892 1554']
             groupings            groupings ['P1,905 1527 1064 1559']
                 based                based ['P1,1077 1527 1168 1553']
                    on                   on ['P1,1180 1535 1220 1552']
                   the                  the ['P1,1234 1527 1284 1553']
           generalised          generalised ['P1,1298 1527 1479 1559']
              adaptive             adaptive ['P1,1491 1527 1627 1560']
                 modes                modes ['P1,1641 1527 1746 1554']
                    of                   of ['P1,1759 1527 1795 1554']
                   the                  the ['P1,309 1569 361 1595']
           constituent          constituent ['P1,373 1569 562 1595']
               species              species ['P1,574 1568 695 1600']
                     .                    . ['P1,574 1568 695 1600']
                   The                  The ['P1,711 1568 773 1595']
               highest              highest ['P1,786 1568 903 1601']
         concentration        concentration ['P1,915 1568 1146 1595']
                    of                   of ['P1,1160 1567 1195 1594']
        characteristic       characteristic ['P1,1205 1568 1423 1595']
               species              species ['P1,1437 1568 1550 1601']
                occurs               occurs ['P1,1564 1576 1669 1595']
                    in                   in ['P1,1681 1569 1710 1595']
                   the                  the ['P1,1723 1568 1775 1594']
                  most                 most ['P1,308 1611 390 1636']
                stable               stable ['P1,401 1609 497 1636']
           environment          environment ['P1,509 1609 729 1642']
                     ,                    , ['P1,509 1609 729 1642']
            containing           containing ['P1,742 1609 917 1640']
                   the                  the ['P1,930 1609 981 1635']
               highest              highest ['P1,993 1608 1110 1641']
             diversity            diversity ['P1,1124 1609 1261 1641']
              Onniella             Onniella ['P1,1278 1608 1412 1636']
               reuschi              reuschi ['P1,1425 1609 1543 1636']
                     ?                    ? ['P1,1555 1621 1584 1625']
X                    -                   ?? ['P1,1555 1621 1584 1625']
           Chonetoidea          Chonetoidea ['P1,1595 1609 1802 1636']
             radiatula            radiatula ['P1,307 1650 453 1677']
           Association          Association ['P1,468 1650 667 1677']
                     .                    . ['P1,468 1650 667 1677']
              Greatest             Greatest ['P1,684 1648 820 1677']
         concentration        concentration ['P1,832 1649 1063 1676']
                    of                   of ['P1,1077 1648 1111 1676']
                   the                  the ['P1,1123 1649 1174 1677']
            ubiquitous           ubiquitous ['P1,1186 1649 1365 1687']
                   and                  and ['P1,1378 1649 1435 1677']
          intergrading         intergrading ['P1,1449 1650 1647 1683']
               species              species ['P1,1658 1650 1773 1683']
                    is                   is ['P1,308 1692 331 1718']
                    in                   in ['P1,345 1692 375 1717']
                   the                  the ['P1,388 1690 439 1717']
              proximal             proximal ['P1,453 1690 601 1724']
          environments         environments ['P1,614 1691 847 1718']
                     .                    . ['P1,614 1691 847 1718']
             Community            Community ['P1,862 1690 1059 1723']
